pic_name,bool_value,bool_gme,bool_gamestop,bool_investing,value_screenshot
taukjmcuvbf61,True,True,True,True,736.0
1kiunx0ykhf61,False,False,False,True,20499.0
53ej6t8aiaf61,True,False,False,False,4145.0
0rj2bxndpif61,False,True,True,False,57300.0
z4qx74z2r2e61,True,False,False,False,847.0
lheno8xte8f61,False,False,False,True,619.0
s7jla3hfst661,True,False,False,False,12010.0
10uhsuro8bb61,False,False,False,True,418.0
cbi0hh8g11161,True,False,False,False,2573.0
2hjs2fs5dyd61,True,False,False,False,135.0
t1kjct3iodf61,False,False,True,True,2866.0
s9z41sig9ue61,False,True,False,False,14206.0
n3kyrai783e61,False,True,True,False,453.0
npxqesooea361,False,False,False,True,21811.0
GeM8c93,False,False,False,True,50078.0
gv4pzq0160f61,False,True,True,False,269.0
so00h74wb4f61,True,True,True,False,320.0
5p6tyx5cgjf61,True,True,False,False,2595.0
3PszmMN,True,False,False,False,923.0
hqpx89ajgl961,False,False,False,True,9927.0
7myh65kmlae61,True,False,False,False,279.0
og72pwlay5e61,True,False,False,False,1166.0
dvayv1lxxod61,True,False,False,False,7687.0
b2imqdevfxc61,True,True,False,False,20860.0
ml7rowr9maf61,True,True,True,False,192.0
2eie7r9fd3f61,True,True,False,False,822.0
1439o8pxx2f61,True,True,False,False,1953.0
3ohbapr604f61,True,False,False,False,2059.0
gg78srudm5761,True,False,False,False,11060.0
afjfw7czt3e61,False,True,False,True,110645.0
9b86us7ryee61,False,True,True,False,323.0
rv3gyveue3f61,True,True,False,False,12998.0
dxaagqi19z561,False,False,False,True,73390.0
ov0gtrb0iv361,True,False,False,False,3340.0
7atdr2eoswd61,True,False,False,False,6147.0
